feature,importance,band,n_total,n_pairs
nota_squared,0.14215829256691773,baixo (0-5),39981,3
NOMEMAE qtd frag comuns,0.1292780766265134,baixo (0-5),39981,3
nota final,0.10029886174691062,baixo (0-5),39981,3
diff_ano_nasc,0.09571569481239793,baixo (0-5),39981,3
diff_ano_ok,0.06667990053902265,baixo (0-5),39981,3
NOME qtd frag muito parec,0.04797864710313105,baixo (0-5),39981,3
ratio_nome_nota,0.039467410567204195,baixo (0-5),39981,3
ratio_nome_mae,0.03783668998062645,baixo (0-5),39981,3
NOME qtd frag comuns,0.0373104627883734,baixo (0-5),39981,3
dtnasc_x_local,0.02758692917719182,baixo (0-5),39981,3
ENDERECO tokens jacc,0.02365025157605847,baixo (0-5),39981,3
dtnasc_squared,0.02287995264729733,baixo (0-5),39981,3
NOME qtd frag raros,0.022834282741384198,baixo (0-5),39981,3
nome_total,0.018651292382796513,baixo (0-5),39981,3
NOMEMAE qtd frag muito parec,0.016947663206940407,baixo (0-5),39981,3
endereco_total,0.016870069527128214,baixo (0-5),39981,3
NOME prim frag igual,0.01580278612325617,baixo (0-5),39981,3
dtnasc_ok,0.014443739456900768,baixo (0-5),39981,3
obito_tb,0.013088500972019825,baixo (0-5),39981,3
ENDERECO texto prox,0.012846205333030549,baixo (0-5),39981,3
nome_x_endereco,0.012818558073409795,baixo (0-5),39981,3
dtnasc_total,0.011216624841696726,baixo (0-5),39981,3
score_recall,0.010259899655802393,baixo (0-5),39981,3
nome_squared,0.009575351482333747,baixo (0-5),39981,3
min_score_nome,0.008271757161339384,baixo (0-5),39981,3
obito_sinan,0.008255158814896297,baixo (0-5),39981,3
nome_x_local,0.007406184721346178,baixo (0-5),39981,3
ENDERECO via prox,0.006598516890095559,baixo (0-5),39981,3
nome_prim_ok,0.006134418761681473,baixo (0-5),39981,3
evidencias_positivas,0.004411200233285844,baixo (0-5),39981,3
DTNASC dt iguais,0.003893811311731101,baixo (0-5),39981,3
NOMEMAE qtd frag iguais,0.002520848026241101,baixo (0-5),39981,3
mae_total,0.0021500362060766017,baixo (0-5),39981,3
nome_x_mae,0.0010312510398065586,baixo (0-5),39981,3
mae_presente,0.000821266750515692,baixo (0-5),39981,3
NOMEMAE ult frag igual,0.0007434403825752916,baixo (0-5),39981,3
max_score_dtnasc,0.0006405465981115843,baixo (0-5),39981,3
nome_x_dtnasc,0.0005106741396534411,baixo (0-5),39981,3
NOME qtd frag iguais,0.00014857346447227915,baixo (0-5),39981,3
nome_bom,0.0001259842536395544,baixo (0-5),39981,3
local_total,7.13012786417391e-05,baixo (0-5),39981,3
DTNASC dt ap 1digi,1.963283480130157e-05,baixo (0-5),39981,3
ENDERECO compl prox,1.8620995526128508e-05,baixo (0-5),39981,3
NOMEMAE qtd frag raros,1.6629137657247688e-05,baixo (0-5),39981,3
NOME ult frag igual,4.694241355208837e-06,baixo (0-5),39981,3
NOMEMAE qtd frag abrev,2.8556485500175314e-06,baixo (0-5),39981,3
CODMUNRES local igual,2.4957705648443676e-06,baixo (0-5),39981,3
dtnasc_parcial,2.090177710459047e-06,baixo (0-5),39981,3
CODMUNRES local prox,1.8672313799736185e-06,baixo (0-5),39981,3
NOMEMAE prim frag igual,1.7537734492606484e-16,baixo (0-5),39981,3
DTNASC dt inv mes,1.499021814334544e-16,baixo (0-5),39981,3
ENDERECO numero igual,1.3322094920970862e-16,baixo (0-5),39981,3
local_ok,8.591858970878632e-17,baixo (0-5),39981,3
NOME qtd frag abrev,3.7981034727639845e-17,baixo (0-5),39981,3
DTNASC dt inv dia,3.4726360179488365e-17,baixo (0-5),39981,3
ENDERECO via igual,0.0,baixo (0-5),39981,3
CODMUNRES uf igual,0.0,baixo (0-5),39981,3
DTNASC dt inv ano,0.0,baixo (0-5),39981,3
ratio_nome_mae,0.12558553295742084,cinza-baixo (5-6),14263,17
NOMEMAE qtd frag comuns,0.10277701190632593,cinza-baixo (5-6),14263,17
nome_x_mae,0.09975334782344022,cinza-baixo (5-6),14263,17
mae_total,0.09523417639417449,cinza-baixo (5-6),14263,17
NOMEMAE qtd frag muito parec,0.09089375001803156,cinza-baixo (5-6),14263,17
NOMEMAE qtd frag iguais,0.08265302150637112,cinza-baixo (5-6),14263,17
NOME qtd frag muito parec,0.05475095792622752,cinza-baixo (5-6),14263,17
nome_bom,0.04764846453762609,cinza-baixo (5-6),14263,17
score_recall,0.045457445672976736,cinza-baixo (5-6),14263,17
ratio_nome_nota,0.04395614199954803,cinza-baixo (5-6),14263,17
nome_total,0.033530213090778006,cinza-baixo (5-6),14263,17
mae_presente,0.026794140127425398,cinza-baixo (5-6),14263,17
nome_squared,0.020540037536182033,cinza-baixo (5-6),14263,17
dtnasc_squared,0.016458604041671734,cinza-baixo (5-6),14263,17
max_score_dtnasc,0.016088324434467335,cinza-baixo (5-6),14263,17
evidencias_positivas,0.01102065637727271,cinza-baixo (5-6),14263,17
ENDERECO tokens jacc,0.0076672693999470755,cinza-baixo (5-6),14263,17
diff_ano_nasc,0.0064755397199145115,cinza-baixo (5-6),14263,17
NOME qtd frag comuns,0.006254653686929908,cinza-baixo (5-6),14263,17
dtnasc_x_local,0.005884822030860862,cinza-baixo (5-6),14263,17
dtnasc_total,0.005619668744874418,cinza-baixo (5-6),14263,17
endereco_total,0.00541902336872681,cinza-baixo (5-6),14263,17
dtnasc_ok,0.005196002784793389,cinza-baixo (5-6),14263,17
nota final,0.004635253589140569,cinza-baixo (5-6),14263,17
NOME ult frag igual,0.004552271453640052,cinza-baixo (5-6),14263,17
nota_squared,0.003826717259397663,cinza-baixo (5-6),14263,17
nome_x_endereco,0.0036520133156172875,cinza-baixo (5-6),14263,17
ENDERECO via prox,0.003190234314216956,cinza-baixo (5-6),14263,17
NOME qtd frag iguais,0.0031413253351887044,cinza-baixo (5-6),14263,17
obito_tb,0.0030505810301973933,cinza-baixo (5-6),14263,17
local_ok,0.0029187974432791997,cinza-baixo (5-6),14263,17
nome_x_dtnasc,0.002783339175684376,cinza-baixo (5-6),14263,17
local_total,0.002687362622042832,cinza-baixo (5-6),14263,17
ENDERECO texto prox,0.002473508212650435,cinza-baixo (5-6),14263,17
obito_sinan,0.0020614953529158038,cinza-baixo (5-6),14263,17
DTNASC dt iguais,0.0019362059791024008,cinza-baixo (5-6),14263,17
min_score_nome,0.0017362450965091067,cinza-baixo (5-6),14263,17
nome_prim_ok,0.00035016399792786585,cinza-baixo (5-6),14263,17
diff_ano_ok,0.0003188271329813971,cinza-baixo (5-6),14263,17
nome_x_local,0.00026812616202271137,cinza-baixo (5-6),14263,17
NOMEMAE ult frag igual,0.0002630708177569505,cinza-baixo (5-6),14263,17
NOME qtd frag raros,0.00015025372680134495,cinza-baixo (5-6),14263,17
DTNASC dt ap 1digi,0.0001348245141960339,cinza-baixo (5-6),14263,17
dtnasc_parcial,6.99418873544181e-05,cinza-baixo (5-6),14263,17
ENDERECO compl prox,6.170907212328615e-05,cinza-baixo (5-6),14263,17
NOMEMAE qtd frag raros,2.2211537246852276e-05,cinza-baixo (5-6),14263,17
NOMEMAE qtd frag abrev,1.9362813822009645e-05,cinza-baixo (5-6),14263,17
CODMUNRES local prox,1.5158887508730322e-05,cinza-baixo (5-6),14263,17
DTNASC dt inv mes,1.5088680286096034e-05,cinza-baixo (5-6),14263,17
DTNASC dt inv dia,6.87060548538566e-06,cinza-baixo (5-6),14263,17
CODMUNRES local igual,2.3389891707348663e-07,cinza-baixo (5-6),14263,17
NOME prim frag igual,2.838623136398527e-16,cinza-baixo (5-6),14263,17
ENDERECO numero igual,2.1773065054354264e-18,cinza-baixo (5-6),14263,17
ENDERECO via igual,0.0,cinza-baixo (5-6),14263,17
NOMEMAE prim frag igual,0.0,cinza-baixo (5-6),14263,17
DTNASC dt inv ano,0.0,cinza-baixo (5-6),14263,17
CODMUNRES uf igual,0.0,cinza-baixo (5-6),14263,17
NOME qtd frag abrev,0.0,cinza-baixo (5-6),14263,17
ratio_nome_mae,0.13038374650620507,cinza-medio (6-7),6175,57
mae_total,0.1296497754580958,cinza-medio (6-7),6175,57
max_score_dtnasc,0.09722255223748538,cinza-medio (6-7),6175,57
dtnasc_ok,0.07438617407068257,cinza-medio (6-7),6175,57
dtnasc_total,0.07409222932806413,cinza-medio (6-7),6175,57
diff_ano_nasc,0.058903567991593866,cinza-medio (6-7),6175,57
nome_x_mae,0.04974532556952654,cinza-medio (6-7),6175,57
nome_x_dtnasc,0.04960279584428294,cinza-medio (6-7),6175,57
dtnasc_x_local,0.03987884664016044,cinza-medio (6-7),6175,57
NOMEMAE qtd frag iguais,0.03427457095027493,cinza-medio (6-7),6175,57
DTNASC dt iguais,0.03403008825352543,cinza-medio (6-7),6175,57
NOME ult frag igual,0.030319239689790486,cinza-medio (6-7),6175,57
score_recall,0.022605827028349523,cinza-medio (6-7),6175,57
min_score_nome,0.022477877841348172,cinza-medio (6-7),6175,57
NOMEMAE ult frag igual,0.021444937797871676,cinza-medio (6-7),6175,57
dtnasc_squared,0.018699245642426573,cinza-medio (6-7),6175,57
nome_bom,0.017678687801877375,cinza-medio (6-7),6175,57
diff_ano_ok,0.013969282560998783,cinza-medio (6-7),6175,57
NOME qtd frag muito parec,0.01047364678907579,cinza-medio (6-7),6175,57
NOMEMAE qtd frag muito parec,0.007297767174561106,cinza-medio (6-7),6175,57
mae_presente,0.005916118049417833,cinza-medio (6-7),6175,57
ENDERECO compl prox,0.004775140232183098,cinza-medio (6-7),6175,57
ratio_nome_nota,0.0046838109775011495,cinza-medio (6-7),6175,57
NOME qtd frag comuns,0.004425037984929255,cinza-medio (6-7),6175,57
evidencias_positivas,0.0043089788059415025,cinza-medio (6-7),6175,57
obito_sinan,0.0037826872653702625,cinza-medio (6-7),6175,57
NOME qtd frag iguais,0.003458157064200348,cinza-medio (6-7),6175,57
nome_total,0.003404242375497574,cinza-medio (6-7),6175,57
NOMEMAE prim frag igual,0.00299336931513846,cinza-medio (6-7),6175,57
NOME qtd frag raros,0.0025804755748127742,cinza-medio (6-7),6175,57
nome_x_local,0.0024127518690058216,cinza-medio (6-7),6175,57
NOMEMAE qtd frag comuns,0.0024033943707887618,cinza-medio (6-7),6175,57
nota final,0.001975787026225585,cinza-medio (6-7),6175,57
obito_tb,0.001953213275422132,cinza-medio (6-7),6175,57
nota_squared,0.0018380933623285136,cinza-medio (6-7),6175,57
nome_squared,0.001601037348782675,cinza-medio (6-7),6175,57
local_total,0.0014619641283103594,cinza-medio (6-7),6175,57
CODMUNRES local igual,0.0012061970499343555,cinza-medio (6-7),6175,57
ENDERECO via prox,0.001125797003302011,cinza-medio (6-7),6175,57
local_ok,0.001105401256221607,cinza-medio (6-7),6175,57
endereco_total,0.0008724620240887579,cinza-medio (6-7),6175,57
nome_prim_ok,0.0006666604413301613,cinza-medio (6-7),6175,57
nome_x_endereco,0.0006433009056681737,cinza-medio (6-7),6175,57
ENDERECO tokens jacc,0.0005765290079322736,cinza-medio (6-7),6175,57
NOME prim frag igual,0.0005527944940674936,cinza-medio (6-7),6175,57
ENDERECO texto prox,0.0005020010374944394,cinza-medio (6-7),6175,57
NOMEMAE qtd frag raros,0.0004874910138088476,cinza-medio (6-7),6175,57
dtnasc_parcial,0.0003791131528246175,cinza-medio (6-7),6175,57
DTNASC dt ap 1digi,0.00037385993544364305,cinza-medio (6-7),6175,57
DTNASC dt inv mes,0.00014272609156026932,cinza-medio (6-7),6175,57
CODMUNRES local prox,0.00013972662458355145,cinza-medio (6-7),6175,57
DTNASC dt inv dia,9.383831433205753e-05,cinza-medio (6-7),6175,57
ENDERECO via igual,2.165744535503653e-05,cinza-medio (6-7),6175,57
NOMEMAE qtd frag abrev,1.346894236919655e-18,cinza-medio (6-7),6175,57
ENDERECO numero igual,0.0,cinza-medio (6-7),6175,57
DTNASC dt inv ano,0.0,cinza-medio (6-7),6175,57
CODMUNRES uf igual,0.0,cinza-medio (6-7),6175,57
NOME qtd frag abrev,0.0,cinza-medio (6-7),6175,57
ratio_nome_mae,0.12588778161174383,cinza-alto (7-8),1080,43
mae_total,0.11786769579108064,cinza-alto (7-8),1080,43
NOMEMAE ult frag igual,0.09228576069285856,cinza-alto (7-8),1080,43
max_score_dtnasc,0.07051941462061526,cinza-alto (7-8),1080,43
dtnasc_x_local,0.058890915701692644,cinza-alto (7-8),1080,43
dtnasc_ok,0.05133255639065678,cinza-alto (7-8),1080,43
NOMEMAE prim frag igual,0.046451277544264015,cinza-alto (7-8),1080,43
dtnasc_total,0.04628921923356442,cinza-alto (7-8),1080,43
nome_x_dtnasc,0.04436048533400337,cinza-alto (7-8),1080,43
NOMEMAE qtd frag iguais,0.0410543336549625,cinza-alto (7-8),1080,43
score_recall,0.03991140594610878,cinza-alto (7-8),1080,43
nome_x_mae,0.034614313587168696,cinza-alto (7-8),1080,43
DTNASC dt iguais,0.026219480235250132,cinza-alto (7-8),1080,43
NOMEMAE qtd frag muito parec,0.021154434916312588,cinza-alto (7-8),1080,43
evidencias_positivas,0.019707606391670233,cinza-alto (7-8),1080,43
nome_squared,0.018571258368022914,cinza-alto (7-8),1080,43
nome_x_local,0.01520770808585626,cinza-alto (7-8),1080,43
diff_ano_nasc,0.012949469262808374,cinza-alto (7-8),1080,43
NOME qtd frag iguais,0.01260167966534434,cinza-alto (7-8),1080,43
nome_bom,0.01077927490314797,cinza-alto (7-8),1080,43
ratio_nome_nota,0.010613725700083926,cinza-alto (7-8),1080,43
mae_presente,0.008245429581399663,cinza-alto (7-8),1080,43
nota_squared,0.008109738829897782,cinza-alto (7-8),1080,43
diff_ano_ok,0.007939556549869803,cinza-alto (7-8),1080,43
nota final,0.006811384267392657,cinza-alto (7-8),1080,43
DTNASC dt inv mes,0.004535547410171324,cinza-alto (7-8),1080,43
NOME qtd frag muito parec,0.004486141831663158,cinza-alto (7-8),1080,43
min_score_nome,0.00432703815640421,cinza-alto (7-8),1080,43
local_total,0.0038915090623455567,cinza-alto (7-8),1080,43
nome_prim_ok,0.003705477896741786,cinza-alto (7-8),1080,43
dtnasc_parcial,0.0035209342851118056,cinza-alto (7-8),1080,43
nome_total,0.0027091842370050422,cinza-alto (7-8),1080,43
ENDERECO tokens jacc,0.002521757523389242,cinza-alto (7-8),1080,43
NOMEMAE qtd frag comuns,0.0023198206180778187,cinza-alto (7-8),1080,43
CODMUNRES local prox,0.002274276052145611,cinza-alto (7-8),1080,43
ENDERECO texto prox,0.0021562177199502836,cinza-alto (7-8),1080,43
NOME qtd frag comuns,0.001986092101873141,cinza-alto (7-8),1080,43
endereco_total,0.0018592158043892193,cinza-alto (7-8),1080,43
DTNASC dt ap 1digi,0.001697873728967822,cinza-alto (7-8),1080,43
nome_x_endereco,0.0016184200273965906,cinza-alto (7-8),1080,43
ENDERECO via prox,0.0015817104372453535,cinza-alto (7-8),1080,43
CODMUNRES local igual,0.0014758370866900924,cinza-alto (7-8),1080,43
local_ok,0.0013664679324714747,cinza-alto (7-8),1080,43
obito_tb,0.001270981762980113,cinza-alto (7-8),1080,43
NOME prim frag igual,0.001055720868809895,cinza-alto (7-8),1080,43
dtnasc_squared,0.0004067585971998145,cinza-alto (7-8),1080,43
obito_sinan,0.0002454572659630025,cinza-alto (7-8),1080,43
NOME qtd frag raros,0.00019233737186521708,cinza-alto (7-8),1080,43
ENDERECO via igual,0.00016722542089136417,cinza-alto (7-8),1080,43
ENDERECO compl prox,0.000126158821064862,cinza-alto (7-8),1080,43
NOMEMAE qtd frag abrev,6.96111643869669e-05,cinza-alto (7-8),1080,43
NOMEMAE qtd frag raros,3.7225465085697754e-05,cinza-alto (7-8),1080,43
DTNASC dt inv dia,1.9094483937477165e-05,cinza-alto (7-8),1080,43
NOME qtd frag abrev,4.995466323671144e-18,cinza-alto (7-8),1080,43
ENDERECO numero igual,0.0,cinza-alto (7-8),1080,43
DTNASC dt inv ano,0.0,cinza-alto (7-8),1080,43
CODMUNRES uf igual,0.0,cinza-alto (7-8),1080,43
NOME ult frag igual,0.0,cinza-alto (7-8),1080,43
